BOM ID,Member internalid,Line ID,Item source,Member Quantity,Effective Date,Obsolete Date,Units
422698,116747,10,Stock , 0.00216000 ,14/08/2025,14/08/2025,Test
422698,116749,11,Stock , 0.00223009 ,14/08/2025,14/08/2025,Test
422698,116718,12,Stock , 0.00063717 ,14/08/2025,14/08/2025,Test
422698,291546,13,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422698,236786,14,Stock , 0.02666667 ,14/08/2025,14/08/2025,Test
422698,193204,15,Stock , 0.41666667 ,14/08/2025,14/08/2025,Test
422698,193205,16,Stock , 0.41666667 ,14/08/2025,14/08/2025,Test
422698,211443,17,Stock , 0.12000000 ,14/08/2025,14/08/2025,Test
422698,211627,18,Stock , 0.12000000 ,14/08/2025,14/08/2025,Test
422698,116748,19,Stock , 0.01200000 ,14/08/2025,14/08/2025,Test
422698,116747,20,Stock , 0.00720000 ,14/08/2025,14/08/2025,Test
422698,116749,21,Stock , 0.00743363 ,14/08/2025,14/08/2025,Test
422698,116718,22,Stock , 0.00212389 ,14/08/2025,14/08/2025,Test
422698,291547,23,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422698,236786,24,Stock , 0.00022222 ,14/08/2025,,Test
422698,116748,25,Stock , 0.00010000 ,14/08/2025,,Test
422698,116747,26,Stock , 0.00006000 ,14/08/2025,,Test
422698,116749,27,Stock , 0.00006195 ,14/08/2025,,Test
422698,116718,28,Stock , 0.00001770 ,14/08/2025,,Test
422698,291547,29,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422698,211443,30,Stock , 0.06000000 ,14/08/2025,14/08/2025,Test
422698,211627,31,Stock , 0.06000000 ,14/08/2025,14/08/2025,Test
422698,291545,32,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422698,194673,33,Stock , 0.00276923 ,14/08/2025,14/08/2025,Test
422698,193178,34,Stock , 1.33333333 ,14/08/2025,14/08/2025,Test
422698,373534,35,Stock , 0.00120000 ,14/08/2025,14/08/2025,Test
422698,211443,36,Stock , 0.00800000 ,14/08/2025,14/08/2025,Test
422698,211439,37,Stock , 0.00800000 ,14/08/2025,14/08/2025,Test
422698,116748,38,Stock , 0.00360000 ,14/08/2025,14/08/2025,Test
422698,116747,39,Stock , 0.00216000 ,14/08/2025,14/08/2025,Test
422698,116749,40,Stock , 0.00223009 ,14/08/2025,14/08/2025,Test
422698,116718,41,Stock , 0.00063717 ,14/08/2025,14/08/2025,Test
422698,291546,42,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422698,194673,43,Stock , 0.00923077 ,14/08/2025,14/08/2025,Test
422698,193204,44,Stock , 0.41666667 ,14/08/2025,14/08/2025,Test
422698,193205,45,Stock , 0.41666667 ,14/08/2025,14/08/2025,Test
422698,211443,46,Stock , 0.12000000 ,14/08/2025,14/08/2025,Test
422698,211627,47,Stock , 0.12000000 ,14/08/2025,14/08/2025,Test
422698,116748,48,Stock , 0.01200000 ,14/08/2025,14/08/2025,Test
422698,116747,49,Stock , 0.00720000 ,14/08/2025,14/08/2025,Test
422698,116749,50,Stock , 0.00743363 ,14/08/2025,14/08/2025,Test
422698,116718,51,Stock , 0.00212389 ,14/08/2025,14/08/2025,Test
422698,291547,52,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422698,194673,53,Stock , 0.00007692 ,14/08/2025,,Test
422698,116748,54,Stock , 0.00010000 ,14/08/2025,,Test
422698,116747,55,Stock , 0.00006000 ,14/08/2025,,Test
422698,116749,56,Stock , 0.00006195 ,14/08/2025,,Test
422698,116718,57,Stock , 0.00001770 ,14/08/2025,,Test
422698,291548,58,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422698,116749,59,Stock , 0.00371681 ,14/08/2025,14/08/2025,Test
422698,116750,60,Stock , 0.01831858 ,14/08/2025,14/08/2025,Test
422698,116751,61,Stock , 0.17250000 ,14/08/2025,14/08/2025,Test
422698,116718,62,Stock , 0.00106195 ,14/08/2025,14/08/2025,Test
422698,291548,63,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422698,116748,64,Stock , 0.00085714 ,14/08/2025,14/08/2025,Test
422698,116747,65,Stock , 0.00051429 ,14/08/2025,14/08/2025,Test
422698,116718,66,Stock , 0.00015171 ,14/08/2025,14/08/2025,Test
422700,291543,1,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422700,344417,2,Stock , 1.00000000 ,14/08/2025,14/08/2025,Test
